scenario,case,dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
A8_SUB1,A,car_availability,never,6,-2.205011084456977,-1.8754277213132653,-4.135460135158283,-0.6041453968993835,0.0,1.0,0.5
A8_SUB1,A,employment,false,19,-2.40861397514526,-1.1684779877554092,-9.676530755308908,3.78145254322972,0.2631578947368421,0.7368421052631579,0.3684210526315789
A8_SUB1,A,employment,true,48,-4.4007821320351885,-3.3402187928442966,-12.118101445894089,2.0697817160372187,0.2916666666666667,0.7083333333333334,0.4166666666666667
B6_PTI,B,income,high,5,-1.2430821569353492,-1.6317722839192044,-2.157721598117276,-0.17375345417559054,0.2,0.8,0.4
B6_PTI,B,income,low,23,-9.48543451377136,-7.883185242025249,-19.408258798725523,0.6701589752895929,0.17391304347826084,0.8260869565217391,0.5217391304347826
B6_PTI,B,income,middle,19,-5.901239363220369,-4.4262490505711165,-11.932164971684802,0.990868793471088,0.21052631578947367,0.7894736842105263,0.4736842105263158
B6_PTI,B,age,25-44,18,-5.6322138572819584,-3.3507870203683083,-13.230294756065335,0.8870000304492098,0.2777777777777778,0.7222222222222222,0.4444444444444444
B6_PTI,B,age,45-64,11,-10.943877907774462,-6.0893338819480505,-32.59091620078927,-0.3180829634740263,0.09090909090909093,0.9090909090909092,0.6363636363636364
B6_PTI,B,age,65+,12,-6.217153129849542,-6.29838362159451,-11.758307957689835,-0.5733916272926805,0.08333333333333333,0.9166666666666666,0.5
B6_PTI,B,age,<25,6,-6.6892680879693645,-7.202741758012827,-15.014347979960904,2.1492854740656355,0.3333333333333333,0.6666666666666666,0.3333333333333333
B6_PTI,B,gender,f,20,-7.333553024543026,-6.3717323876852845,-16.80367867984797,1.137379853804852,0.25,0.75,0.45
B6_PTI,B,gender,m,27,-7.030847852286838,-5.5541020551174825,-13.4002046560516,0.16268066649345853,0.14814814814814814,0.8518518518518519,0.5185185185185185
B6_PTI,B,car_availability,always,44,-7.253286253304287,-5.748369202441992,-16.2160316896776,0.8721125185854937,0.18181818181818185,0.8181818181818182,0.5227272727272727
B6_PTI,B,car_availability,never,3,-5.786452452405489,-7.883185242025249,-9.477654178761497,-1.2565576102015792,0.3333333333333333,0.6666666666666666,0.0
B6_PTI,B,employment,false,24,-7.215305003758044,-7.032426579682479,-14.536787474863988,0.6461546164464236,0.20833333333333331,0.7916666666666666,0.375
B6_PTI,B,employment,true,23,-7.1015927135831305,-4.4262490505711165,-15.914658313860675,0.7446635731497799,0.17391304347826084,0.8260869565217391,0.6086956521739131
C22_PTI,C,income,high,281,-3.480836930746108,-2.8690129224244174,-7.770897072246242,0.02819513939823537,0.10676156583629894,0.8932384341637011,0.3060498220640569
